,RSSI1,RSSI2,RSSI3,Distance1,Distance2,Distance3,PosX,PosY
182,-52.856,-50.888999999999996,-49.843999999999994,172.72,147.906,136.202,157.274,138.541
183,-52.856,-50.782,-49.843999999999994,172.72,146.656,136.202,157.594,139.061
184,-52.856,-50.782,-49.843999999999994,172.72,146.656,136.202,157.875,139.518
185,-52.631,-50.782,-49.843999999999994,169.687,146.656,136.202,157.687,139.34799999999998
186,-52.676,-50.782,-49.843999999999994,170.285,146.656,136.202,157.607,139.311
187,-52.676,-50.782,-49.843999999999994,170.285,146.656,136.202,157.536,139.279
188,-52.676,-50.782,-49.843999999999994,170.285,146.656,136.202,157.474,139.25
189,-52.836000000000006,-50.782,-49.843999999999994,172.451,146.656,136.202,157.731,139.63299999999998
190,-53.218999999999994,-50.782,-49.843999999999994,177.738,146.656,136.202,158.733,140.988
191,-53.218999999999994,-50.782,-49.843999999999994,177.738,146.656,136.202,159.613,142.18
192,-53.218999999999994,-50.782,-49.843999999999994,177.738,146.656,136.202,160.387,143.227
193,-53.556000000000004,-50.782,-49.843999999999994,182.518,146.656,136.202,161.789,145.095
194,-53.556000000000004,-50.782,-49.843999999999994,182.518,146.656,136.202,163.02100000000002,146.736
195,-53.556000000000004,-50.782,-49.843999999999994,182.518,146.656,136.202,164.105,148.179
196,-53.556000000000004,-50.782,-49.843999999999994,182.518,146.656,136.202,165.05700000000002,149.44799999999998
197,-53.556000000000004,-51.17100000000001,-49.843999999999994,182.518,151.231,136.202,165.715,149.813
198,-53.852,-51.17100000000001,-49.843999999999994,186.826,151.231,136.202,166.96099999999998,151.009
199,-53.852,-51.17100000000001,-49.843999999999994,186.826,151.231,136.202,168.05599999999998,152.061
200,-53.852,-51.17100000000001,-49.843999999999994,186.826,151.231,136.202,169.018,152.985
201,-53.748999999999995,-51.17100000000001,-49.843999999999994,185.31400000000002,151.231,136.202,169.628,153.488
202,-54.021,-51.17100000000001,-49.843999999999994,189.33900000000003,151.231,136.202,170.796,154.759
203,-54.021,-51.17100000000001,-49.843999999999994,189.33900000000003,151.231,136.202,171.82299999999998,155.877
204,-54.021,-51.17100000000001,-49.843999999999994,189.33900000000003,151.231,136.202,172.726,156.859
205,-54.021,-51.17100000000001,-49.843999999999994,189.33900000000003,151.231,136.202,173.519,157.72299999999998
206,-54.14,-51.17100000000001,-49.843999999999994,191.11700000000002,151.231,136.202,174.5,158.85399999999998
207,-54.14,-51.028999999999996,-49.843999999999994,191.11700000000002,149.55,136.202,175.428,160.126
208,-54.14,-51.028999999999996,-49.843999999999994,191.11700000000002,149.55,136.202,176.24400000000003,161.244
209,-54.001999999999995,-51.028999999999996,-49.843999999999994,189.049,149.55,136.202,176.632,161.795
210,-54.122,-51.028999999999996,-49.843999999999994,190.859,149.55,136.202,177.261,162.657
211,-54.122,-51.51,-49.843999999999994,190.859,155.326,136.202,177.583,162.446
212,-54.122,-51.51,-49.843999999999994,190.859,155.326,136.202,177.86599999999999,162.261
213,-54.108000000000004,-51.51,-49.843999999999994,190.637,155.326,136.202,178.08,162.05100000000002
214,-54.336999999999996,-51.51,-49.843999999999994,194.111,155.326,136.202,178.827,162.602
215,-54.336999999999996,-51.568999999999996,-49.843999999999994,194.111,156.054,136.202,179.455,162.96200000000002
216,-54.336999999999996,-51.568999999999996,-49.843999999999994,194.111,156.054,136.202,180.007,163.278
217,-54.417,-51.568999999999996,-49.843999999999994,195.34400000000002,156.054,136.202,180.69299999999998,163.82
218,-54.851000000000006,-51.568999999999996,-49.843999999999994,202.14,156.054,136.202,182.428,165.782
219,-54.851000000000006,-51.568999999999996,-49.843999999999994,202.14,156.054,136.202,183.954,167.507
220,-54.851000000000006,-51.568999999999996,-49.843999999999994,202.14,156.054,136.202,185.294,169.023
221,-54.851000000000006,-51.258,-49.843999999999994,202.14,152.274,136.202,186.625,170.997
222,-55.111000000000004,-51.258,-49.843999999999994,206.329,152.274,136.202,188.513,173.674
223,-55.339,-51.258,-49.843999999999994,210.084,152.274,136.202,190.827,176.886
224,-55.339,-51.258,-49.843999999999994,210.084,152.274,136.202,192.861,179.71
225,-55.177,-51.258,-49.843999999999994,207.415,152.274,136.202,194.18200000000002,181.579
226,-55.035,-51.258,-49.843999999999994,205.097,152.274,136.202,194.942,182.696
227,-55.035,-51.258,-49.843999999999994,205.097,152.274,136.202,195.61,183.678
228,-55.035,-51.258,-49.843999999999994,205.097,152.274,136.202,196.19799999999998,184.541
